129;8;5;2;8;5;0
168;10;8;2;8;5;0
265;16;6;2;8;5;0
367;22;7;2;8;5;0
506;30;9;2;8;5;0
601;36;3;2;8;5;0
640;38;6;3;1;5;0
711;42;8;3;1;5;0
872;52;2;2;8;5;0
880;52;7;3;1;5;0
912;54;4;2;8;5;0
951;56;8;2;8;5;0
1080;64;6;2;8;5;0
1138;68;0;2;8;5;0
1173;70;1;2;8;5;0
1252;74;9;3;1;5;0
1315;78;6;3;1;5;0
1354;80;7;2;8;5;0
1511;90;2;3;1;5;0
1549;92;4;3;1;5;0
1558;92;9;2;8;5;0
1650;98;0;3;1;5;0
1698;100;7;3;1;5;0
1736;102;8;3;1;5;0
1844;109;5;3;1;5;0
1898;112;6;2;8;5;0
1931;114;7;2;8;5;0
1967;116;9;3;1;5;0
2094;124;1;3;1;5;0
2126;126;0;2;8;5;0
2167;128;7;3;1;5;0
2217;131;5;2;8;5;0
2350;139;2;2;8;5;0
2430;144;3;3;1;5;0
2509;148;9;2;8;5;0
2564;152;0;3;1;5;0
2635;156;1;2;8;5;0
2690;159;2;3;1;5;0
2740;162;3;2;8;5;0
2879;170;0;2;8;5;0
2903;171;5;3;1;5;0
2980;176;4;2;8;5;0
3203;189;5;2;8;5;0
3260;192;8;2;8;5;0
3324;196;6;3;1;5;0
3398;200;9;3;1;5;0
3476;205;5;3;1;5;0
3538;209;2;2;8;5;0
3609;213;4;3;1;5;0
3654;216;1;3;1;5;0
3706;219;3;3;1;5;0
3753;222;0;3;1;5;0
3799;224;8;3;1;5;0
3811;225;5;2;8;5;0
3853;228;1;2;8;5;0
3941;233;2;3;1;5;0
3943;233;4;2;8;5;0
4058;240;0;2;8;5;0
4109;242;8;2;8;5;0
4243;250;7;2;8;5;0
4253;251;4;3;1;5;0
4300;254;1;3;1;5;0
4348;256;9;2;8;5;0
4529;267;3;2;8;5;0
4635;273;5;3;1;5;0
4725;278;7;3;1;5;0
4762;280;8;3;1;5;0
4794;282;6;2;8;5;0
4867;286;9;3;1;5;0
4872;287;2;2;8;5;0
5010;295;4;2;8;5;0
5046;298;0;3;1;5;0
5073;299;5;2;8;5;0
5273;311;3;3;1;5;0
5312;313;4;3;1;5;0
5335;314;7;2;8;5;0
5405;318;9;2;8;5;0
5460;322;0;2;8;5;0
5475;323;2;3;1;5;0
5525;326;1;2;8;5;0
5617;331;4;2;8;5;0
5641;332;9;3;1;5;0
5808;342;6;3;1;5;0
5846;344;7;3;1;5;0
5921;348;8;2;8;5;0
5958;351;2;2;8;5;0
5973;352;1;3;1;5;0
5993;353;3;2;8;5;0
6031;355;5;3;1;5;0
6191;364;9;2;8;5;0
6243;368;0;3;1;5;0
6391;376;6;2;8;5;0
6423;378;7;2;8;5;0
6433;379;4;3;1;5;0
6544;386;0;2;8;5;0
6583;388;1;2;8;5;0
6630;390;9;3;1;5;0
6665;393;3;3;1;5;0
6860;404;6;3;1;5;0
6895;406;7;3;1;5;0
6942;409;5;2;8;5;0
7096;418;6;2;8;5;0
7124;420;1;3;1;5;0
7200;424;9;2;8;5;0
7263;428;7;2;8;5;0
7340;433;4;2;8;5;0
7374;435;5;3;1;5;0
7438;439;2;3;1;5;0
7439;439;3;2;8;5;0
7498;442;9;3;1;5;0
7615;450;0;3;1;5;0
7661;452;6;3;1;5;0
7795;460;8;3;1;5;0
7838;463;3;3;1;5;0
7935;468;6;2;8;5;0
7985;471;2;2;8;5;0
8153;481;4;3;1;5;0
8154;481;5;2;8;5;0
8308;490;7;3;1;5;0
8332;492;1;2;8;5;0
8481;500;9;2;8;5;0
8523;503;2;3;1;5;0
8586;506;7;2;8;5;0
8663;511;4;2;8;5;0
8665;511;5;3;1;5;0
8813;520;0;2;8;5;0
8849;522;1;3;1;5;0
8907;525;8;2;8;5;0
9008;531;5;2;8;5;0
9057;534;3;2;8;5;0
9085;536;0;3;1;5;0
9158;540;1;2;8;5;0
